10000,2,5.106
10000,2,5.099
10000,2,5.558
10000,2,5.1
10000,2,5.098
10000,100,1.326
10000,100,1.33
10000,100,1.329
10000,100,1.335
10000,100,1.314
10000,500,0.792
10000,500,0.798
10000,500,0.812
10000,500,0.799
10000,500,0.806
10000,1000,0.807
10000,1000,0.81
10000,1000,0.799
10000,1000,0.831
10000,1000,0.79
10000,5000,0.448
10000,5000,0.446
10000,5000,0.444
10000,5000,0.45
10000,5000,0.442
10000,10000,0.289
10000,10000,0.292
10000,10000,0.289
10000,10000,0.287
10000,10000,0.293
20000,2,5.844
20000,2,5.362
20000,2,5.607
20000,2,5.841
20000,2,5.83
20000,100,2.006
20000,100,2.008
20000,100,2.009
20000,100,1.989
20000,100,2.004
20000,500,1.118
20000,500,1.13
20000,500,1.125
20000,500,1.126
20000,500,1.13
20000,1000,0.969
20000,1000,0.965
20000,1000,0.967
20000,1000,0.966
20000,1000,0.959
20000,5000,0.821
20000,5000,0.82
20000,5000,0.817
20000,5000,0.82
20000,5000,0.821
20000,10000,0.608
20000,10000,0.603
20000,10000,0.607
20000,10000,0.603
20000,10000,0.609
30000,2,6.312
30000,2,6.337
30000,2,6.319
30000,2,6.326
30000,2,6.342
30000,100,2.619
30000,100,2.632
30000,100,2.627
30000,100,2.613
30000,100,2.641
30000,500,1.453
30000,500,1.426
30000,500,1.433
30000,500,1.444
30000,500,1.445
30000,1000,1.262
30000,1000,1.268
30000,1000,1.253
30000,1000,1.266
30000,1000,1.27
30000,5000,1.136
30000,5000,1.125
30000,5000,1.127
30000,5000,1.129
30000,5000,1.125
30000,10000,0.932
30000,10000,0.932
30000,10000,0.934
30000,10000,0.958
30000,10000,0.93
40000,2,7.083
40000,2,7.108
40000,2,6.513
40000,2,6.516
40000,2,7.102
40000,100,3.142
40000,100,3.147
40000,100,3.131
40000,100,3.13
40000,100,3.125
40000,500,1.747
40000,500,1.736
40000,500,1.74
40000,500,1.744
40000,500,1.747
40000,1000,1.482
40000,1000,1.476
40000,1000,1.468
40000,1000,1.474
40000,1000,1.483
40000,5000,1.304
40000,5000,1.308
40000,5000,1.312
40000,5000,1.312
40000,5000,1.312
40000,10000,1.181
40000,10000,1.174
40000,10000,1.18
40000,10000,1.184
40000,10000,1.181
50000,2,6.967
50000,2,7.253
50000,2,6.666
50000,2,6.699
50000,2,6.961
50000,100,3.845
50000,100,3.832
50000,100,3.847
50000,100,3.839
50000,100,3.844
50000,500,2.014
50000,500,2.009
50000,500,2.016
50000,500,2.004
50000,500,2.016
50000,1000,1.704
50000,1000,1.693
50000,1000,1.697
50000,1000,1.704
50000,1000,1.697
50000,5000,1.468
50000,5000,1.482
50000,5000,1.477
50000,5000,1.47
50000,5000,1.474
50000,10000,1.35
50000,10000,1.343
50000,10000,1.338
50000,10000,1.341
50000,10000,1.343
60000,2,6.852
60000,2,7.477
60000,2,7.392
60000,2,7.35
60000,2,6.851
60000,100,4.158
60000,100,4.164
60000,100,4.153
60000,100,4.162
60000,100,4.175
60000,500,2.362
60000,500,2.36
60000,500,2.374
60000,500,2.365
60000,500,2.358
60000,1000,1.892
60000,1000,1.894
60000,1000,1.907
60000,1000,1.899
60000,1000,1.891
60000,5000,1.63
60000,5000,1.639
60000,5000,1.631
60000,5000,1.635
60000,5000,1.641
60000,10000,1.634
60000,10000,1.654
60000,10000,1.636
60000,10000,1.636
60000,10000,1.644
70000,2,7.0
70000,2,7.172
70000,2,7.001
70000,2,7.014
70000,2,7.006
70000,100,4.443
70000,100,4.439
70000,100,4.429
70000,100,4.463
70000,100,4.438
70000,500,2.609
70000,500,2.605
70000,500,2.604
70000,500,2.618
70000,500,2.612
70000,1000,2.151
70000,1000,2.154
70000,1000,2.161
70000,1000,2.169
70000,1000,2.155
70000,5000,1.813
70000,5000,1.794
70000,5000,1.805
70000,5000,1.796
70000,5000,1.802
70000,10000,1.803
70000,10000,1.801
70000,10000,1.792
70000,10000,1.801
70000,10000,1.8
80000,2,7.798
80000,2,7.768
80000,2,7.229
80000,2,7.526
80000,2,7.218
80000,100,4.759
80000,100,4.742
80000,100,4.735
80000,100,4.743
80000,100,4.733
80000,500,2.887
80000,500,2.873
80000,500,2.892
80000,500,2.887
80000,500,2.891
80000,1000,2.406
80000,1000,2.423
80000,1000,2.408
80000,1000,2.4
80000,1000,2.405
80000,5000,1.987
80000,5000,1.983
80000,5000,1.987
80000,5000,1.978
80000,5000,1.998
80000,10000,2.009
80000,10000,1.98
80000,10000,2.0
80000,10000,1.988
80000,10000,1.985
