152348.860551,
132645.042436,
127197.535323,
127036.62031,
125714.153755,
136686.838669,
132323.084348,
121569.37014,
115413.495595,
114764.68003,
115131.13364,
116477.485402,
113121.375327,
135243.166862,
132883.059062,
134259.902605,
131369.872076,
132245.450981,
131969.146561,
128032.448187,
129077.444146,
129024.831684,
128267.008719,
116651.464635,
119042.395683,
121895.608941,
130769.498547,
128677.825355,
131145.538257,
128113.046067,
130917.846537,
110324.406958,
118089.144283,
112423.334348,
109211.754039,
110364.372468,
109178.798667,
109952.707612,
109151.606712,
110124.806973,
109417.681631,
110097.738357,
109120.343486,
110296.406116,
109626.474702,
110707.259308,
109861.514671,
109445.9148,
110137.908544,
109871.72326,
110168.598385,
109619.316624,
110646.367179,
109591.828533,
110870.069623,
109808.702421,
109630.067571,
110547.744306,
109685.559014,
111161.456904,
109939.982369,
110787.466289,
109759.437869,
113770.694217,
110231.317039,
